NAME	DESCRIPTION	healthy_cd3_46	healthy_cd3_46_1	arg1_def_cd3_46	arg1_def_cd3_46_1
FVT1	1	6.81151924625264	8.56679174644548	8.49048546360626	7.79717639368886
FVT1	1	5.35945466774725	6.84943081630817	7.40820659769143	6.47184126858337
LOC100131820	1	5.10759122024802	4.96186019835057	4.97305238453783	5.18489303890244
MDH1	1	6.13039766569901	6.62148683511261	6.7450647331212	6.94313937406322
E2F6	1	5.61006907482948	5.45338095569733	5.83633814667207	5.68892957200442
C6orf48	1	12.3542508169934	12.4255117167954	11.9885877015178	12.1850673265748
C6orf48	1	6.90861784772215	8.21787990471466	8.12123732146889	8.31963432802966
UEVLD	1	5.13214929831323	4.89958574730843	5.00018569789568	4.91055302793682
IFNE1	1	5.12594110783737	5.71458005548189	5.99447831189167	5.61288677831734
IFNE1	1	5.46940560858824	5.02206718710796	5.40593107411472	4.87877265109241
