"gene","healthy_none","healthy_cd3","healthy_cd3_46","healthy_none_1","healthy_cd3_1","healthy_cd3_46_1","arg1_def_none","arg1_def_cd3","arg1_def_cd3_46","arg1_def_none_1","arg1_def_cd3_1","arg1_def_cd3_46_1"
"FLJ20718",5.07200877447929,4.8104238451192,4.98902317656911,5.00274989590648,5.16264560010877,4.9973011286308,4.88338082942905,4.82701896784586,5.17420495761871,5.09906970036091,5.25522945345092,4.88159486876878
"",5.93670215860907,5.60508156671073,5.35695551659796,5.75653088938366,5.57423382189006,5.62278379842579,5.11539299022152,6.01643583506406,5.115218076159,5.82041343762647,5.21424155929888,5.5360783022841
"NSMCE2",4.74199526011332,4.64677091355025,4.67851175403309,5.31420714472185,5.83751138112946,5.71860604275397,5.69962702192034,6.04282911595468,5.72995230450111,5.67811314992046,6.06371764646001,6.12867136707218
"TUBGCP2",4.91286247676627,5.30630023950779,4.78937405030702,4.82532097886401,5.59403038508797,5.0053618594224,4.99238730154275,4.86122444389884,5.33138300173368,4.88218528557532,4.80179608527466,4.93522370786798
"BIN1",6.14261398241621,6.33543408802241,5.68231460105481,6.3325858613322,6.21757546719825,5.88611312638341,6.7043443941662,6.20459297126366,5.94563747453739,6.06355738956343,6.31463928925745,5.41351237158675
"BTBD10",5.62992856277092,4.9337543815588,5.26440999702903,5.68955266698605,6.77536754543162,6.36984094438457,6.33759747602239,6.68546079195383,6.25786441598336,6.48361088700895,6.54659394033634,6.11772819201174
"DCTN3",5.23915928564942,4.98060834725066,5.51353955052613,4.93552663277066,5.42027118652291,5.44426212463607,5.5414294819254,5.94329254035207,5.56114540945652,5.3612397284081,5.78732846589693,5.62278379842579
"ARHGDIA",5.34234950111618,6.00782101012058,7.10677610759132,6.67053119525147,6.72011085528708,7.32648781345225,6.86237527092706,6.76798581328998,7.06828010816154,6.72266565762129,6.80835533939698,7.10976685731083
"NEK1",4.68638858998836,4.82499762714665,5.54781513131524,6.05095804025025,6.04738903467385,5.96256697336212,6.18231073873911,6.37723220832309,6.27897870393523,6.08893163491107,6.50675854905933,6.01675549019723
"LOC728992",5.52229155816082,6.18145616961807,5.59137465488926,5.38364586298893,5.75694829430087,5.36690404393086,5.31872049424834,5.75262121480857,5.14801540206733,5.42027118652291,5.56944240938141,5.61651487311363
"LONP1",4.61696364073232,5.07317122401028,5.13845642917116,4.86394531590521,4.80403741612906,5.53981535410148,5.2239127872576,5.3927330873964,5.79989889222546,4.82898101544293,5.19515904993852,4.99555231551857
